x_m,y_m,w_tr_right_m,w_tr_left_m
2.9068,-3.6015,0.4636,0.4636
2.9068,-3.5915,0.4617,0.4617
2.9068,-3.5815,0.4597,0.4597
2.9168,-3.5715,0.4677,0.4677
2.9168,-3.5615,0.4658,0.4658
2.9168,-3.5515,0.4638,0.4638
2.9268,-3.5415,0.4718,0.4718
2.9268,-3.5315,0.4698,0.4698
2.9268,-3.5215,0.4679,0.4679
2.9268,-3.5115,0.4659,0.4659
2.9368,-3.5015,0.4739,0.4739
2.9368,-3.4915,0.4720,0.4720
2.9368,-3.4815,0.4700,0.4700
2.9468,-3.4715,0.4800,0.4800
2.9468,-3.4615,0.4800,0.4800
2.9468,-3.4515,0.4800,0.4800
2.9468,-3.4415,0.4820,0.4820
2.9568,-3.4315,0.4939,0.4939
2.9568,-3.4215,0.4959,0.4959
2.9568,-3.4115,0.4979,0.4979
2.9668,-3.4015,0.5098,0.5098
2.9568,-3.3915,0.5018,0.5018
2.9568,-3.3815,0.5038,0.5038
2.9568,-3.3715,0.5058,0.5058
2.9468,-3.3615,0.4977,0.4977
2.9468,-3.3515,0.4997,0.4997
2.9468,-3.3415,0.5017,0.5017
2.9368,-3.3315,0.4936,0.4936
2.9368,-3.3215,0.4956,0.4956
2.9368,-3.3115,0.4976,0.4976
2.9268,-3.3015,0.4895,0.4895
2.9268,-3.2915,0.4915,0.4915
2.9168,-3.2815,0.4835,0.4835
2.9168,-3.2715,0.4854,0.4854
2.9168,-3.2615,0.4874,0.4874
2.9068,-3.2515,0.4794,0.4794
2.9068,-3.2415,0.4813,0.4813
2.9068,-3.2315,0.4833,0.4833
2.8968,-3.2215,0.4774,0.4774
2.8968,-3.2115,0.4794,0.4794
2.8868,-3.2015,0.4713,0.4713
2.8868,-3.1915,0.4753,0.4753
2.8868,-3.1815,0.4794,0.4794
2.8768,-3.1715,0.4713,0.4713
2.8768,-3.1615,0.4753,0.4753
2.8668,-3.1515,0.4713,0.4713
2.8668,-3.1415,0.4753,0.4753
2.8668,-3.1315,0.4794,0.4794
2.8568,-3.1215,0.4713,0.4713
2.8568,-3.1115,0.4753,0.4753
2.8468,-3.1015,0.4713,0.4713
2.8468,-3.0915,0.4753,0.4753
2.8468,-3.0815,0.4794,0.4794
2.8368,-3.0715,0.4713,0.4713
2.8268,-3.0615,0.4654,0.4654
2.8268,-3.0515,0.4674,0.4674
2.8168,-3.0415,0.4594,0.4594
2.8068,-3.0315,0.4534,0.4534
2.8068,-3.0215,0.4574,0.4574
2.7968,-3.0115,0.4494,0.4494
2.7868,-3.0015,0.4454,0.4454
2.7768,-2.9915,0.4394,0.4394
2.7768,-2.9815,0.4454,0.4454
2.7668,-2.9715,0.4394,0.4394
2.7568,-2.9615,0.4374,0.4374
2.7468,-2.9515,0.4355,0.4355
2.7368,-2.9415,0.4336,0.4336
2.7268,-2.9315,0.4314,0.4314
2.7268,-2.9215,0.4234,0.4234
2.7168,-2.9115,0.4154,0.4154
2.7068,-2.9015,0.4094,0.4094
2.6968,-2.8915,0.4035,0.4035
2.6868,-2.8815,0.3954,0.3954
2.6768,-2.8715,0.3915,0.3915
2.6668,-2.8615,0.3835,0.3835
2.6568,-2.8515,0.3795,0.3795
2.6468,-2.8515,0.3815,0.3815
2.6368,-2.8415,0.3735,0.3735
2.6268,-2.8415,0.3795,0.3795
2.6168,-2.8315,0.3715,0.3715
2.6068,-2.8315,0.3735,0.3735
2.5968,-2.8215,0.3695,0.3695
2.5868,-2.8215,0.3715,0.3715
2.5768,-2.8115,0.3655,0.3655
2.5668,-2.8115,0.3715,0.3715
2.5568,-2.8015,0.3655,0.3655
2.5468,-2.8015,0.3715,0.3715
2.5368,-2.7915,0.3655,0.3655
2.5268,-2.7915,0.3715,0.3715
2.5168,-2.7815,0.3655,0.3655
2.5068,-2.7815,0.3695,0.3695
2.4968,-2.7715,0.3615,0.3615
2.4868,-2.7615,0.3575,0.3575
2.4768,-2.7615,0.3615,0.3615
2.4668,-2.7515,0.3575,0.3575
2.4568,-2.7415,0.3495,0.3495
2.4468,-2.7415,0.3515,0.3515
2.4368,-2.7315,0.3495,0.3495
2.4268,-2.7315,0.3515,0.3515
2.4168,-2.7215,0.3476,0.3476
2.4068,-2.7115,0.3395,0.3395
2.3968,-2.7115,0.3435,0.3435
2.3868,-2.7115,0.3476,0.3476
2.3768,-2.7015,0.3395,0.3395
2.3668,-2.6915,0.3356,0.3356
2.3568,-2.6915,0.3376,0.3376
2.3468,-2.6815,0.3295,0.3295
2.3368,-2.6815,0.3356,0.3356
2.3268,-2.6715,0.3276,0.3276
2.3168,-2.6715,0.3295,0.3295
2.3068,-2.6615,0.3256,0.3256
2.2968,-2.6615,0.3276,0.3276
2.2868,-2.6515,0.3216,0.3216
2.2768,-2.6515,0.3276,0.3276
